period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
87,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,5.983483483483482,0.0,0.0,0.0,5.983483483483482,0.0,0.5166666666666667,0.0,-0.0,0.0,0.0,140.0
88,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,6.584084084084084,0.0,0.0,0.0,6.584084084084084,0.0,0.5092592592592593,0.0,-0.0,0.0,0.0,140.0
89,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,8.686186186186186,0.0,0.0,0.0,8.686186186186186,0.0,0.5018518518518519,0.0,-0.0,0.0,0.0,140.0
90,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,8.082582582582582,0.0,0.0,0.0,8.082582582582582,0.0,0.4944444444444445,0.0,-0.0,0.0,0.0,140.0
91,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,9.283783783783782,0.0,0.0,0.0,9.283783783783782,0.0,0.4870370370370371,0.0,-0.0,0.0,0.0,140.0
92,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,17.39189189189189,0.0,0.0,0.0,17.39189189189189,0.0,0.4796296296296297,0.0,-0.0,0.0,0.0,140.0
93,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,21.596096096096097,0.0,0.0,0.0,21.596096096096097,0.0,0.47222222222222227,0.0,-0.0,0.0,0.0,140.0
94,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,19.046546546546548,0.0,0.0,0.0,19.046546546546548,0.0,0.46481481481481485,0.0,-0.0,0.0,0.0,140.0
95,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,19.196696696696698,0.0,0.0,0.0,19.196696696696698,0.0,0.45740740740740743,0.0,-0.0,0.0,0.0,140.0
96,,,,,0.0,0.0,,,,,,,,,,0.45,,,,,
